category,n,mean_shap,median_shap,mean_abs_shap,direction
519.0,3,0.20138607766497008,0.2268834947762502,0.20138607766497005,higher_exit_risk
712.0,6,0.19484042980401295,0.19902466503237023,0.19484042980401298,higher_exit_risk
503.0,1,0.18818384270383318,0.18818384270383318,0.18818384270383318,higher_exit_risk
12.0,1,0.1729640092276877,0.1729640092276877,0.1729640092276877,higher_exit_risk
331.0,15,0.17123713698383466,0.19427753325232544,0.1712371369838347,higher_exit_risk
889.0,7,0.1641005031120077,0.18474777892621988,0.1641005031120077,higher_exit_risk
742.0,16,0.15968492332404957,0.1868819481382646,0.1596849233240496,higher_exit_risk
182.0,1,0.15590868116828374,0.15590868116828374,0.15590868116828374,higher_exit_risk
765.0,2,0.15482999786050416,0.15482999786050416,0.15482999786050416,higher_exit_risk
450.0,11,0.15334217615151513,0.14004352072668297,0.1533421761515151,higher_exit_risk
510.0,1,0.15091617009185795,0.15091617009185795,0.15091617009185795,higher_exit_risk
749.0,3,0.14363591008590468,0.19712849605604638,0.14363591008590468,higher_exit_risk
852.0,4,0.14276944466284922,0.1606139190230528,0.14276944466284922,higher_exit_risk
761.0,223,0.13796196944865047,0.13692704511616663,0.13796196944865047,higher_exit_risk
711.0,1,0.13713614154907397,0.13713614154907397,0.13713614154907397,higher_exit_risk
800.0,6,0.13701702073838326,0.1443647281752642,0.13701702073838326,higher_exit_risk
883.0,39,0.13639078003380445,0.1585148430298405,0.13639078003380448,higher_exit_risk
172.0,13,0.13413842953455934,0.13199152355275195,0.13413842953455934,higher_exit_risk
526.0,17,0.13182655400396634,0.1412862196673363,0.1339622800365035,higher_exit_risk
290.0,1,0.13082236171662923,0.13082236171662923,0.13082236171662923,higher_exit_risk
269.0,8,0.1292268869421338,0.12053231086517238,0.1292268869421338,higher_exit_risk
273.0,2,0.12788781466821741,0.12788781466821741,0.12788781466821741,higher_exit_risk
262.0,7,0.12367306937186315,0.13324892887011655,0.12367306937186315,higher_exit_risk
551.0,22,0.1236360759890153,0.13337815360420985,0.12401437809468717,higher_exit_risk
154.0,20,0.12301395281953884,0.12180756532831169,0.12301395281953886,higher_exit_risk
152.0,4,0.11975591765720349,0.12150390525656474,0.11975591765720348,higher_exit_risk
311.0,1,0.11847863465091954,0.11847863465091954,0.11847863465091954,higher_exit_risk
504.0,11,0.1176281331217154,0.12637954582306876,0.11762813312171541,higher_exit_risk
314.0,4,0.11762503223276727,0.11846916081444434,0.11762503223276727,higher_exit_risk
179.0,11,0.11687234559232694,0.1254141526964219,0.11687234559232694,higher_exit_risk
315.0,6,0.11496736017297536,0.13311106374642231,0.11496736017297537,higher_exit_risk
511.0,5,0.11455352322856231,0.12922460479242365,0.11455352322856231,higher_exit_risk
51.0,4,0.11341058765588838,0.12139860061078492,0.11341058765588838,higher_exit_risk
523.0,12,0.11329315752111402,0.11258323895898556,0.11329315752111402,higher_exit_risk
369.0,24,0.1128430144042903,0.116327846147564,0.11453602999965219,higher_exit_risk
872.0,1,0.11185153851642166,0.11185153851642166,0.11185153851642166,higher_exit_risk
552.0,242,0.11169587519739659,0.0995068715408258,0.11169587519739657,higher_exit_risk
760.0,4,0.11048809522333605,0.11366316918481739,0.11048809522333605,higher_exit_risk
931.0,24,0.11032365507027642,0.12691931615826352,0.11032365507027642,higher_exit_risk
522.0,31,0.10997280540272213,0.10716474880388197,0.10997280540272214,higher_exit_risk
729.0,2,0.10425929747562368,0.10425929747562368,0.10425929747562368,higher_exit_risk
672.0,14,0.10425436568728987,0.12115970519930577,0.10506210317851217,higher_exit_risk
939.0,54,0.1019405981237978,0.07409900834841146,0.10194059812379778,higher_exit_risk
151.0,34,0.10192641497495633,0.06735763252225023,0.10192641497495634,higher_exit_risk
809.0,79,0.09991781491721802,0.0794642124648678,0.09991781491721802,higher_exit_risk
660.0,66,0.09884871697836421,0.10437228935477273,0.10292583169893471,higher_exit_risk
333.0,2,0.09771739766078433,0.09771739766078433,0.09771739766078433,higher_exit_risk
14.0,10,0.09426238981402756,0.0791982726520977,0.09426238981402754,higher_exit_risk
746.0,6,0.0936261409308008,0.0872462517993107,0.0936261409308008,higher_exit_risk
745.0,16,0.09302872593784091,0.10096461411984592,0.09430640822878088,higher_exit_risk
524.0,44,0.09302755164562186,0.07233196627347385,0.09302755164562186,higher_exit_risk
702.0,171,0.09258597388871855,0.06448263231332411,0.09258597388871855,higher_exit_risk
11.0,15,0.09253188915009486,0.07303118714313794,0.09253188915009487,higher_exit_risk
862.0,338,0.09214254873383035,0.08135400160986284,0.09341264244069475,higher_exit_risk
181.0,41,0.09141255630442759,0.07042663182615679,0.09141255630442759,higher_exit_risk
521.0,114,0.09013644108379244,0.06787744479837174,0.09013644108379244,higher_exit_risk
871.0,16,0.09000898780326624,0.07692138258341674,0.09000898780326624,higher_exit_risk
713.0,6,0.08919800553960337,0.10256232729361148,0.10269522420952215,higher_exit_risk
__MISSING__,5,0.08782150783767724,0.13652008713276775,0.14204534889916237,higher_exit_risk
528.0,27,0.08656171923872738,0.06307032910768892,0.08656171923872741,higher_exit_risk
160.0,1,0.08493220810125851,0.08493220810125851,0.08493220810125851,higher_exit_risk
232.0,1,0.08425793832057317,0.08425793832057317,0.08425793832057317,higher_exit_risk
313.0,4,0.08135283577268983,0.08896768098907143,0.0919429627415511,higher_exit_risk
804.0,3,0.07828586244584408,0.07344140439716672,0.07828586244584408,higher_exit_risk
732.0,4,0.0739963939789739,0.10866553772275962,0.09211914624359764,higher_exit_risk
20.0,3,0.07351044061537938,0.04834861365071777,0.07351044061537938,higher_exit_risk
410.0,4,0.0730023987891755,0.07261404021654336,0.0730023987891755,higher_exit_risk
353.0,1,0.07055148673991833,0.07055148673991833,0.07055148673991833,higher_exit_risk
911.0,6,0.06777932635446184,0.10427408605167418,0.09375443716755825,higher_exit_risk
173.0,1,0.06624156941984813,0.06624156941984813,0.06624156941984813,higher_exit_risk
465.0,9,0.06573287539878198,0.10552168913886875,0.09426952605959939,higher_exit_risk
921.0,14,0.06444303694490829,0.07790162754842656,0.073203967093184,higher_exit_risk
461.0,24,0.06410687117527716,0.09422973482930336,0.08567193972328058,higher_exit_risk
