category,n,mean_shap,median_shap,mean_abs_shap,direction
513.0,38,0.19706832246312767,0.19080054117431994,0.19706832246312767,higher_exit_risk
412.0,30,0.19682629822747605,0.19510759604334776,0.19682629822747613,higher_exit_risk
317.0,32,0.19343911399980782,0.2030184060934502,0.19343911399980784,higher_exit_risk
413.0,12,0.19078483166214943,0.18385945876962254,0.19078483166214943,higher_exit_risk
415.0,12,0.19072123877142352,0.1712567295420247,0.19072123877142352,higher_exit_risk
915.0,49,0.18431774943020482,0.19601013801032197,0.18431774943020482,higher_exit_risk
252.0,31,0.18133314479249624,0.183120295852308,0.18133314479249624,higher_exit_risk
744.0,1,0.1738948621142359,0.1738948621142359,0.1738948621142359,higher_exit_risk
914.0,124,0.17257889566414036,0.1759585309332684,0.17257889566414036,higher_exit_risk
814.0,2,0.17149722835390646,0.17149722835390646,0.17149722835390646,higher_exit_risk
920.0,14,0.16449446102617468,0.16048006443728435,0.16449446102617465,higher_exit_risk
422.0,81,0.15889184315317512,0.16206885051339318,0.15889184315317512,higher_exit_risk
530.0,7,0.15174081800080533,0.14182182788333472,0.15174081800080533,higher_exit_risk
615.0,1,0.13831451281987325,0.13831451281987325,0.13831451281987325,higher_exit_risk
__MISSING__,8,0.11546268011243935,0.12931295864026643,0.11546268011243935,higher_exit_risk
150.0,1,0.10954222826470383,0.10954222826470383,0.10954222826470383,higher_exit_risk
30.0,20,0.10842946466799361,0.12565570736564843,0.11142969845461059,higher_exit_risk
322.0,22,0.08939253306958544,0.11000648118497758,0.08939253306958543,higher_exit_risk
323.0,26,0.0875312633460103,0.08038531612390708,0.0878105391026335,higher_exit_risk
742.0,2,0.08457556996462945,0.08457556996462945,0.08457556996462945,higher_exit_risk
751.0,36,0.08418160138890331,0.10517258953806279,0.08418160138890331,higher_exit_risk
711.0,1,0.08353810109646581,0.08353810109646581,0.08353810109646581,higher_exit_risk
620.0,2,0.08168693541438497,0.08168693541438497,0.08168693541438497,higher_exit_risk
282.0,26,0.07912844576896237,0.06526480627896254,0.0791284457689624,higher_exit_risk
432.0,4,0.07860306207874201,0.09498790664955548,0.07860306207874201,higher_exit_risk
182.0,13,0.0756567711907511,0.051881128759666655,0.07565677119075108,higher_exit_risk
241.0,57,0.07209649693114638,0.06176413121716394,0.07209649693114635,higher_exit_risk
