model,split,roc_auc,pr_auc,f1,brier,recall_at_10,lift_at_10,recall_at_20,lift_at_20
logistic,valid,0.7049107242601931,0.1979887413984704,0.27679811905525276,0.17334541099960027,0.23136049192928518,2.3128031309111177,0.4062259800153728,2.0308169973385506
logistic,test,0.6990821914608464,0.16944232809735404,0.2446043165467626,0.17003514106292,0.2325678496868476,2.3250771023550634,0.3974947807933194,1.9873270372454466
random_forest,valid,0.724116692238077,0.21421250877908143,0.21481659074562456,0.11641696556087683,0.2544196771714066,2.543315070869036,0.4215987701767871,2.1076691069823936
random_forest,test,0.7288561618121641,0.19339787467932612,0.19263157894736843,0.10967334147324302,0.26221294363256786,2.6214513829066064,0.4421711899791232,2.2106925760955125
xgboost,valid,0.7262218460977651,0.213490067417502,0.01794392523364486,0.08510500015124224,0.2544196771714066,2.543315070869036,0.4223674096848578,2.1115117124645857
xgboost,test,0.7243821160036601,0.19043382633418382,0.026559356136820925,0.07716971655007504,0.25177453027139873,2.5170942418673308,0.43173277661795406,2.158504366083815
catboost,valid,0.7252895099677167,0.21715598686819054,0.018811136192626036,0.08494606150601193,0.2605687932359723,2.604784921524481,0.4208301306687164,2.1038265015002016
catboost,test,0.7305824692204755,0.19714146436937177,0.019583843329253364,0.07675090609587412,0.25636743215031316,2.563011383924612,0.44091858037578285,2.204429990894109
