model,roc_auc,pr_auc,brier
hybrid_stack,0.7345100513102096,0.19939826263932187,0.181084292693461
catboost,0.7336272970179685,0.1996540692349116,0.07628391150663782
random_forest,0.7318167984825963,0.194282014326075,0.1078766583942946
xgboost,0.7297602347060402,0.1960920934692103,0.07661620016740614
logistic,0.7002846824620099,0.17003225029028882,0.16700369807344212
