filename,role,wave,source_type,bytes,sha256
eklips23p.xlsx,wave_data,23,p,13609291,92c8d9ad37930c5d2a1eaf43185cf7d5050be9e0c594f1a67ef5bfd3616d6079
eklips24a.xlsx,wave_data,24,a,7062486,2b1e4301ba97edc2fd94ca210efdcd2fb841afa2bbace9c6f6fb92e58350dee9
eklips24h.xlsx,wave_data,24,h,9704066,ff7ee80d95a73702336174a0611970fe2c8776cb6cf498902e12e9f7e22ab5d5
eklips24p.xlsx,wave_data,24,p,14581678,ba09020aaedfda297b5ef081126950ee47c92fa24ce0a4b344993b8f96937d05
eklips25a.xlsx,wave_data,25,a,7293579,98b32f1a27292ad23755376d3a5e8ee88654e896b3b76a9a3164ad5e289b84a5
eklips25h.xlsx,wave_data,25,h,9871824,9a83a1f47ce1543e5fee1c3e4eed94519ba574930bc8946fe1d321c45655e7b1
eklips25p.xlsx,wave_data,25,p,14923842,c27797f5a81d043005a634b4ef3e7e0f97b9c3c023ee6e1950da149e32c155c1
eklips26a.xlsx,wave_data,26,a,3951660,ef6af7d35c0c91619c41e8a29a01fac1f3cc4a0df6171fa9adf8682e58d0f3ea
eklips26h.xlsx,wave_data,26,h,9939569,6f5d6953df53697fcd2c52f49ccb5802e980d6983455c74094f1c6ff01ea4806
eklips26p.xlsx,wave_data,26,p,15176280,df3d51c4a1fec08a910240e8294c7f751dadaa39fc9d68b00f5e12872dfb6092
eklips27a.xlsx,wave_data,27,a,8746350,2a7826c142110b424d10b4ed8066390237ee171e4af7cbfd3b3a69faac57f2a8
eklips27h.xlsx,wave_data,27,h,10026271,f9e35e5f4968c5c7b117cca8065aa4b84a04474f814d9869f880a7597ce5e00d
eklips27p.xlsx,wave_data,27,p,15033033,54803dfb45e502502ef5070b14cae16eb120a739124410e32d200195d5baf307
eklips27w.xlsx,wave_data,27,w,51073224,caf9cb5d07343299c7bcf593fe525315400e782260a6759bece360c78a345b17
