model,best_method_by_brier,roc_auc,pr_auc,f1,brier,recall_at_10,lift_at_10,recall_at_20,lift_at_20
catboost,isotonic,0.7322493147410979,0.19042612858448021,0.0,0.07605971451308048,0.26430062630480167,2.6423228111144614,0.4384133611691023,2.1919048204913016
hybrid_stack,isotonic,0.7338489123027713,0.19071250145606494,0.006625258799171843,0.07614522749778822,0.2659707724425887,2.6590199536807457,0.4455114822546973,2.227392803299256
logistic,isotonic,0.7000595380557775,0.16632637346357,0.0,0.07758603308540823,0.2279749478079332,2.279159960297782,0.3933194154488518,1.9664517532407677
random_forest,isotonic,0.7310394269722373,0.18721359843899232,0.0016666666666666668,0.07630188814781383,0.2617954070981211,2.617277097265035,0.444258872651357,2.2211302180978523
xgboost,isotonic,0.7284390992124896,0.18862799745075176,0.0,0.07639476299660364,0.25260960334029225,2.5254428131504727,0.4325678496868476,2.162679422884751
