analysis,model,feature_count,train_n,validation_n,test_n,roc_auc,pr_auc,f1,brier,recall_at_10,lift_at_10,recall_at_20,lift_at_20,delta_roc_auc_vs_full_138,delta_pr_auc_vs_full_138,delta_brier_vs_full_138,delta_recall_at_20_vs_full_138,delta_lift_at_20_vs_full_138,removed_feature_count
full_138,catboost,138,86497,25961,27063,0.7305824692204755,0.19714146436937177,0.019583843329253364,0.07675090609587412,0.25636743215031316,2.563011383924612,0.44091858037578285,2.204429990894109,0.0,0.0,0.0,0.0,0.0,0
full_without_hours_features,catboost,113,86497,25961,27063,0.7315065573953629,0.19589512265604422,0.013888888888888888,0.0767748828672611,0.2521920668058455,2.521268527508902,0.43757828810020877,2.1877297636903656,0.0009240881748873164,-0.0012463417133275478,2.397677138697707e-05,-0.003340292275574086,-0.016700227203743534,25
