analysis,model,feature_count,train_n,validation_n,test_n,roc_auc,pr_auc,f1,brier,recall_at_10,lift_at_10,recall_at_20,lift_at_20,feature_groups,delta_roc_auc_vs_previous,delta_pr_auc_vs_previous,delta_brier_vs_previous,delta_recall_at_20_vs_previous,delta_lift_at_20_vs_previous
baseline_17,catboost,17,86497,25961,27063,0.712889984844243,0.1794169437783616,0.015453436356242375,0.07844758476013404,0.23883089770354907,2.387691386978629,0.42505219206680583,2.1251039116763284,baseline_harmonised,,,,,
baseline_plus_expanded,catboost,92,86497,25961,27063,0.7287527170849761,0.19457070932857998,0.021942299878098336,0.0770509942371085,0.253027139874739,2.529617098792044,0.43549060542797496,2.177292121688026,baseline_harmonised+expanded_raw_questionnaire,0.01586273224073309,0.015153765550218384,-0.0013965905230255427,0.01043841336116913,0.05218821001169749
baseline_plus_expanded_plus_nonlinear,catboost,104,86497,25961,27063,0.7283160792865793,0.19605104663066503,0.023625254582484725,0.07693015247508547,0.2609603340292276,2.6089285259818933,0.4392484342379958,2.1960798772922376,baseline_harmonised+expanded_raw_questionnaire+nonlinear_interactions,-0.0004366377983968661,0.0014803373020850497,-0.00012084176202302455,0.003757828810020847,0.018787755604211753
full_138,catboost,138,86497,25961,27063,0.7305824692204755,0.19714146436937177,0.019583843329253364,0.07675090609587412,0.25636743215031316,2.563011383924612,0.44091858037578285,2.204429990894109,baseline_harmonised+expanded_raw_questionnaire+nonlinear_interactions+time_aware_panel_features,0.0022663899338962734,0.0010904177387067449,-0.00017924637921135078,0.001670146137787043,0.008350113601871545
