destination_t1,positive_n,test_n,base_rate,roc_auc,pr_auc,note,overall_exit_prevalence
missing worker-status detail,2006,27063,0.07412334183202159,0.7513652123407883,0.182250793659519,One-vs-rest diagnostic using the primary CatBoost wage-exit score; not a separately trained destination classifier.,0.08849721021320622
non-wage employment,389,27063,0.014373868381184643,0.6125616869242707,0.02087684816321452,One-vs-rest diagnostic using the primary CatBoost wage-exit score; not a separately trained destination classifier.,0.08849721021320622
