analysis,model,feature_count,train_n,validation_n,test_n,roc_auc,pr_auc,f1,brier,recall_at_10,lift_at_10,recall_at_20,lift_at_20,feature_groups,delta_roc_auc_vs_previous,delta_pr_auc_vs_previous,delta_brier_vs_previous,delta_recall_at_20_vs_previous,delta_lift_at_20_vs_previous
baseline_17,catboost,17,86497,25961,27063,0.712889984844243,0.1794169437783616,0.0154534363562423,0.078447584760134,0.238830897703549,2.387691386978629,0.4250521920668058,2.1251039116763284,baseline_harmonised,,,,,
baseline_plus_expanded,catboost,92,86497,25961,27063,0.7287527170849761,0.1945707093285799,0.0219422998780983,0.0770509942371085,0.253027139874739,2.529617098792044,0.4354906054279749,2.177292121688026,baseline_harmonised+expanded_raw_questionnaire,0.015862732240733,0.0151537655502183,-0.0013965905230255,0.0104384133611691,0.0521882100116974
baseline_plus_expanded_plus_nonlinear,catboost,104,86497,25961,27063,0.7283160792865793,0.196051046630665,0.0236252545824847,0.0769301524750854,0.2609603340292276,2.6089285259818933,0.4392484342379958,2.1960798772922376,baseline_harmonised+expanded_raw_questionnaire+nonlinear_interactions,-0.0004366377983968,0.001480337302085,-0.000120841762023,0.0037578288100208,0.0187877556042117
full_138,catboost,138,86497,25961,27063,0.7305824692204755,0.1971414643693717,0.0195838433292533,0.0767509060958741,0.2563674321503131,2.563011383924612,0.4409185803757828,2.204429990894109,baseline_harmonised+expanded_raw_questionnaire+nonlinear_interactions+time_aware_panel_features,0.0022663899338962,0.0010904177387067,-0.0001792463792113,0.001670146137787,0.0083501136018715
