analysis,model,feature_count,train_n,validation_n,test_n,roc_auc,pr_auc,f1,brier,recall_at_10,lift_at_10,recall_at_20,lift_at_20,delta_roc_auc_vs_full_138,delta_pr_auc_vs_full_138,delta_brier_vs_full_138,delta_recall_at_20_vs_full_138,delta_lift_at_20_vs_full_138,removed_feature_count
full_138,catboost,138,86497,25961,27063,0.7305824692204755,0.1971414643693717,0.0195838433292533,0.0767509060958741,0.2563674321503131,2.563011383924612,0.4409185803757828,2.204429990894109,0.0,0.0,0.0,0.0,0.0,0
full_without_hours_features,catboost,113,86497,25961,27063,0.7315065573953629,0.1958951226560442,0.0138888888888888,0.0767748828672611,0.2521920668058455,2.521268527508902,0.4375782881002087,2.1877297636903656,0.0009240881748873,-0.0012463417133275,2.397677138697707e-05,-0.003340292275574,-0.0167002272037435,25
